#separator:Tab
#html:false
#tags column:5
IMF-019-02-0001-ja	代謝性アシドーシスにおける予想二酸化炭素の推定法を述べよ。	およそ重炭酸の一・五倍に八を加えた値であり、狭い許容範囲を持たせる。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0002-ja	代謝性アシドーシスで重炭酸が8、実測二酸化炭素が32である。予想値を求め、差を解釈せよ。	8の一・五倍は12であり、八を加えると予想二酸化炭素は約20である。実測32はこれより高く、換気不全の併存を示す。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0003-ja	重炭酸が12、実測二酸化炭素が18である。代償則は何を予測し、実測値は何を示すか。	12の一・五倍は18であり、八を加えると予想二酸化炭素は約26である。実測18はこれより低く、追加の呼吸性アルカローシスを示す。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0004-ja	重度代謝性アシドーシスで呼吸性代償の消失が緊急であり、挿管が危険となるのはなぜか。	患者は高い分時換気量を維持しなければならず、鎮静、疲労、胸部疾患、神経筋力低下が代償を奪うと水素イオン指数が急低下するためである。挿管後換気が挿管前の代償需要に届かなければ危険である。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0005-ja	二酸化炭素が上昇している。重炭酸が予想より少ない場合と多い場合をどう読むか。	急性貯留では緩衝により上昇が小さく、慢性貯留では腎酸排泄により大きくなる。予想より少なければ代謝性アシドーシスの併存を、多ければ代謝性アルカローシスまたは過去のより高い基準値を示唆する。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0006-ja	後高二酸化炭素性代謝性アルカローシスとは何であり、何がそれを維持するか。	慢性高二酸化炭素血症を換気で急速に補正した後、保持された重炭酸が一時的に高いまま残る状態であり、容量減少、クロール欠乏、カリウム喪失、利尿薬が維持する。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0007-ja	基準のアニオンギャップ12、重炭酸24の患者が、現在アニオンギャップ24、重炭酸4である。デルタ比較を適用せよ。	ギャップは12上昇し重炭酸は20低下しており、低下がギャップ上昇よりはるかに大きいため、正常ギャップ性アシドーシスの併存が疑われる。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0008-ja	尿アニオンギャップはどのように計算し、陰性と陽性はそれぞれ何を示唆するか。	ナトリウムとカリウムの和からクロールを引いて計算する。陰性は下痢のようにアンモニウムクロール排泄が多く腎応答が適切であることを、陽性はアンモニウム低下を示唆する。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0009-ja	クロールに富む蘇生の後、乳酸は除去されつつあるのに水素イオン指数が低いままである。何が起きており、なぜ治療失敗ではないか。	乳酸やケトンが除去されるにつれ有機酸ギャップ性アシドーシスが高クロール性アシドーシスへ置き換わったのであり、灌流が改善していても水素イオン指数は低いままとなり得るからである。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0010-ja	物理化学的アプローチでは、クロールの投与と喪失は強イオン差と水素イオン指数をどう動かすか。	クロール投与は強イオン差を狭めアシドーシスを促し、クロール喪失または随伴クロールなしのナトリウム追加は強イオン差を広げアルカローシスを促す。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0011-ja	物理化学的アプローチは二酸化炭素と強イオン差のほかにどの弱酸を用い、低アルブミンは何をもたらすか。	アルブミンやリンなどの弱酸を用い、低アルブミンは他のアシドーシスを相殺するアルカリ化作用をもたらす。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0012-ja	重炭酸療法が血中重炭酸を上げても細胞内や中枢の酸性化を悪化させ得るのはなぜか。	二酸化炭素を生成するため、換気が生成された二酸化炭素を排泄できなければ細胞内や中枢の酸性化が悪化し得るからである。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0013-ja	正常な水素イオン指数で分析を終えてはならないのはどのような場合で、治療が奏効していることは何で確認するか。	二酸化炭素と重炭酸の双方が著しく異常な場合である。連続測定により、換気、灌流、腎応答、治療が別の障害を作らず各過程を回復へ向けていることを確認する。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
IMF-019-02-0014-ja	最終的な酸塩基解釈は何を述べるべきか。	すべての一次過程、予想代償、ギャップとアルブミンの文脈、推定原因、目前の生理的危険である。	Integrated Medical Foundations; chapter 19, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 4c8fcede2ea1a520ff210cc0f6e1019ed860ab0d0eca9d0cdb08b7f32a1d509b; editorial review pending	imf lang::ja chapter::019 module::019-02 review::pending
