#separator:Tab
#html:false
#tags column:5
IMF-088-03-0001-ja	分枝は燃料貯蔵体としてのグリコーゲンに何を与えるか。	分枝は多数の非還元末端を作り、同時合成・分解を可能にし、溶解性を高める。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0002-ja	インスリンはグリコーゲン合成酵素のリン酸化状態を通じてどのように合成を促すか。	合成酵素は比較的脱リン酸化時に活性であり、インスリンはタンパク質ホスファターゼ系を活性化しキナーゼを抑え、ブドウ糖六リン酸もアロステリックに促進する。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0003-ja	グリコーゲンホスホリラーゼが水ではなく無機リン酸を使うのはなぜか。また脱分枝酵素が必要なのはなぜか。	リン酸でブドウ糖一リン酸を放つため加水分解よりエネルギーを保存する。ホスホリラーゼは分枝近くで停止するため、脱分枝酵素が短鎖を移し残るアルファ一・六結合ブドウ糖を加水分解する。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0004-ja	グルカゴンは骨格筋へ直接作用しない。それでも収縮筋がグリコーゲンを動員できるのはなぜか。	収縮時のカルシウムがカルモジュリンを介しホスホリラーゼキナーゼを活性化し、アドレナリンもアドレナリン経路から分解を促すからである。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0005-ja	筋ホスホリラーゼと肝ホスホリラーゼは、アロステリック応答でどう異なるか。	筋ホスホリラーゼはエネルギー状態に応答しAMPが促進、ATPとブドウ糖六リン酸が抑え、肝ホスホリラーゼはブドウ糖へ応答し食後分解を止める。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0006-ja	肝型と筋型のグリコーゲン蓄積症の現れ方が異なるのはなぜか。	肝ブドウ糖放出障害は絶食低血糖と肝腫大を起こし、筋ホスホリラーゼ・解糖欠損は運動不耐、痙攣、横紋筋融解を起こすからである。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0007-ja	ペントースリン酸経路の酸化相は何により加速し、何を産生するか。	ブドウ糖六リン酸脱水素酵素から始まる不可逆な相で、NADPプラスが利用可能なとき加速し、NADPH二分子、二酸化炭素、リブロース五リン酸を作る。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0008-ja	ブドウ糖六リン酸脱水素酵素(G6PD)欠損が発作性溶血を起こすのはなぜか。	赤血球はミトコンドリアを欠き還元グルタチオン維持をこの経路のNADPHへ依存するため、感染、特定薬、酸化食品でヘモグロビン変性と膜損傷が起こるからである。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0009-ja	NADPHは赤血球では酸化物から守るのに、食細胞ではどのように酸化物を作らせるか。	赤血球は還元グルタチオン維持に使い、食細胞はNADPH酸化酵素で電子を酸素へ渡し食胞内でスーパーオキシドを作る。酸化酵素欠損は慢性肉芽腫症を起こす。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0010-ja	リボースよりNADPHを必要とする細胞は、ペントースリン酸経路をどう運用するか。	ペントースを非酸化反応で解糖中間体へ戻しブドウ糖六リン酸方向へ再循環させ、炭素を二酸化炭素として失いながら反復酸化する。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0011-ja	血糖の供給源は絶食初期から長期絶食へどう変わり、脳はどう適応するか。	初期は肝グリコーゲン分解が主で、貯蔵低下後は脂肪酸酸化に駆動される糖新生が優位となり腎寄与も増す。脳は次第にケトン体を使い、ブドウ糖・アミノ酸需要を減らす。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0012-ja	高血糖時にポリオール経路は水晶体や末梢神経などの組織をどう傷害し得るか。	アルドース還元酵素がNADPHでブドウ糖をソルビトールへ還元し、ソルビトール除去が乏しい組織では浸透圧・酸化還元ストレスが生じ、NADPH消費が抗酸化能を損ない得るからである。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0013-ja	糖化ヘモグロビンが一部の患者で糖曝露を誤って示し得るのはなぜか。	赤血球寿命中の統合曝露を示すため、赤血球回転やヘモグロビン変異の影響を受けるからである。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
IMF-088-03-0014-ja	臨床解釈で代謝物濃度と経路流量を区別しなければならないのはなぜか。	産生と消費がともに加速すると濃度は正常に保たれ、蓄積中間体は形成増加または処理遮断のどちらも示し得るからである。	Integrated Medical Foundations; chapter 88, TTS module 3; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 0ee8cc9077f4bb1c04fe0d3cac5af5910b3979d18cf212f737207b8e06fe9261; editorial review pending	imf lang::ja chapter::088 module::088-03 review::pending
