#separator:Tab
#html:false
#tags column:5
IMF-005-01-0001-en	What is drug bioavailability?	The fraction of an administered dose that reaches systemic circulation unchanged.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
IMF-005-01-0002-en	Why can oral bioavailability be reduced even after gastrointestinal absorption?	Intestinal and hepatic first-pass metabolism can remove drug before it reaches systemic circulation.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
IMF-005-01-0003-en	Why can intramuscular or subcutaneous absorption become unreliable in shock?	Absorption depends on local perfusion, which can be reduced or uneven.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
IMF-005-01-0004-en	What does apparent volume of distribution relate?	The amount of drug in the body to its measured plasma concentration; it is not a literal anatomical volume.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
IMF-005-01-0005-en	What does a very large apparent volume of distribution generally suggest?	Extensive distribution or binding outside plasma, such as in tissues.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
IMF-005-01-0006-en	What is drug clearance?	The virtual volume of plasma cleared of drug per unit time.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
IMF-005-01-0007-en	For a drug with constant clearance, how is elimination rate related to concentration?	Elimination rate equals clearance multiplied by concentration.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
IMF-005-01-0008-en	Which pharmacokinetic parameter primarily determines a loading dose for a given target concentration and bioavailability?	Volume of distribution.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
IMF-005-01-0009-en	Which pharmacokinetic parameter primarily determines the maintenance dosing rate for a given target exposure and bioavailability?	Clearance.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
IMF-005-01-0010-en	With stable first-order kinetics, approximately how many half-lives are needed to approach steady state?	About four to five half-lives.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
IMF-005-01-0011-en	How does zero-order elimination differ from first-order elimination?	Zero-order removes a constant amount per unit time; first-order removes a constant fraction per unit time.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
IMF-005-01-0012-en	Why does enzyme induction usually develop more slowly than direct enzyme inhibition?	Induction generally requires production of additional enzyme protein.	Integrated Medical Foundations; chapter 5, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: dffce8f940d698225459f179266602ae9bfa8aa7ce9d8aa7c206e59f698d3f5d; editorial review pending	imf lang::en chapter::005 module::005-01 review::pending
