#separator:Tab
#html:false
#tags column:5
IMF-075-02-0001-en	Why is extracellular matrix described as active tissue rather than inert packing?	Fibroblasts synthesise and remodel it in response to loading, cytokines, injury, and hormones.	Integrated Medical Foundations; chapter 75, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: f3a92829cbcee0f21d02f1a4b7323294a8baaa99bc55f701eed809bec428a3e0; editorial review pending	imf lang::en chapter::075 module::075-02 review::pending
IMF-075-02-0002-en	Why should claims that distant symptoms arise from a single fascial chain be treated cautiously?	Fascial continuity does transmit tension, but such claims exceed the evidence; clinical conclusions should stay proportional to demonstrated anatomy and biomechanics.	Integrated Medical Foundations; chapter 75, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: f3a92829cbcee0f21d02f1a4b7323294a8baaa99bc55f701eed809bec428a3e0; editorial review pending	imf lang::en chapter::075 module::075-02 review::pending
IMF-075-02-0003-en	Why should a visceral fascial space be described by its boundaries and contents rather than by its name alone?	Nomenclature varies among disciplines, and some spaces are real potential spaces while others are surgical or radiological concepts based on loose areolar planes.	Integrated Medical Foundations; chapter 75, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: f3a92829cbcee0f21d02f1a4b7323294a8baaa99bc55f701eed809bec428a3e0; editorial review pending	imf lang::en chapter::075 module::075-02 review::pending
IMF-075-02-0004-en	How does rising volume within an anatomical compartment injure its contents?	The compartment is bounded by relatively unyielding tissue, so added volume raises pressure, which impairs venous outflow, capillary perfusion, nerve conduction, and muscle viability.	Integrated Medical Foundations; chapter 75, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: f3a92829cbcee0f21d02f1a4b7323294a8baaa99bc55f701eed809bec428a3e0; editorial review pending	imf lang::en chapter::075 module::075-02 review::pending
IMF-075-02-0005-en	Why can pulses remain present in acute compartment syndrome, and which clues appear early?	Arterial pressure exceeds compartment pressure, so pulses may persist; pain out of proportion and pain on passive stretch are early clues, with sensory change and weakness following.	Integrated Medical Foundations; chapter 75, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: f3a92829cbcee0f21d02f1a4b7323294a8baaa99bc55f701eed809bec428a3e0; editorial review pending	imf lang::en chapter::075 module::075-02 review::pending
IMF-075-02-0006-en	How does abdominal compartment syndrome produce organ dysfunction?	Sustained high intra-abdominal pressure from wall tension, fluid, bleeding, bowel distension, and capillary leak reduces renal perfusion, venous return, respiratory compliance, and visceral blood flow.	Integrated Medical Foundations; chapter 75, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: f3a92829cbcee0f21d02f1a4b7323294a8baaa99bc55f701eed809bec428a3e0; editorial review pending	imf lang::en chapter::075 module::075-02 review::pending
IMF-075-02-0007-en	Why can gradual arterial stenosis be tolerated when acute occlusion causes infarction despite visible connections?	Collateral circulation depends on time for remodelling as well as pre-existing anastomoses, so gradual narrowing lets collateral channels enlarge, whereas acute occlusion does not.	Integrated Medical Foundations; chapter 75, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: f3a92829cbcee0f21d02f1a4b7323294a8baaa99bc55f701eed809bec428a3e0; editorial review pending	imf lang::en chapter::075 module::075-02 review::pending
IMF-075-02-0008-en	Why do vertebral venous channels provide routes for metastasis and infection?	Venous plexuses often lack valves and permit bidirectional spread, and the vertebral channels connect pelvis, abdomen, thorax, and cranial cavity.	Integrated Medical Foundations; chapter 75, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: f3a92829cbcee0f21d02f1a4b7323294a8baaa99bc55f701eed809bec428a3e0; editorial review pending	imf lang::en chapter::075 module::075-02 review::pending
IMF-075-02-0009-en	How does raised portal pressure lead to varices?	Portosystemic anastomoses enlarge as a physiological decompression, producing oesophageal and gastric varices, rectal collaterals, and abdominal-wall veins that can bleed lethally.	Integrated Medical Foundations; chapter 75, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: f3a92829cbcee0f21d02f1a4b7323294a8baaa99bc55f701eed809bec428a3e0; editorial review pending	imf lang::en chapter::075 module::075-02 review::pending
IMF-075-02-0010-en	Why does lesion localisation compare motor, sensory, and reflex patterns across roots, trunks, cords, and named nerves?	Plexuses redistribute fibres, so a peripheral nerve contains contributions from several roots rather than mapping onto a single root.	Integrated Medical Foundations; chapter 75, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: f3a92829cbcee0f21d02f1a4b7323294a8baaa99bc55f701eed809bec428a3e0; editorial review pending	imf lang::en chapter::075 module::075-02 review::pending
IMF-075-02-0011-en	Why does compression beneath retinacula or in fibro-osseous tunnels impair nerve function?	Nerves need blood supply and mobility, and compression impairs their microcirculation and axonal transport.	Integrated Medical Foundations; chapter 75, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: f3a92829cbcee0f21d02f1a4b7323294a8baaa99bc55f701eed809bec428a3e0; editorial review pending	imf lang::en chapter::075 module::075-02 review::pending
