#separator:Tab
#html:false
#tags column:5
IMF-016-01-0001-en	Respiratory assessment must determine which five things?	Urgency, anatomical compartment, physiological defect, cause, and functional effect.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0002-en	Why is a structured history and examination performed before gas, imaging and pulmonary-function results are read?	They establish pre-test probability, which is what makes those results interpretable.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0003-en	Sudden dyspnoea suggests which mechanisms?	Embolism, pneumothorax, acute airway obstruction, oedema, arrhythmia, or metabolic disturbance.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0004-en	Progressive exertional dyspnoea suggests which categories of disease?	Obstructive, interstitial, vascular, cardiac, anaemic, or neuromuscular disease.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0005-en	Purulent sputum colour reflects what, and which inference does it not justify?	It reflects leukocytes, and it does not alone prove bacterial infection.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0006-en	Reported haemoptysis must be separated from which other bleeding sources, and what two things are then assessed?	Nasopharyngeal and gastrointestinal bleeding, after which volume is estimated and airway risk assessed.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0007-en	Wheeze indicates narrowed airways, so why does it not localise the lesion?	It can be focal from obstruction or diffuse from asthma, chronic obstructive disease, oedema, or anaphylaxis.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0008-en	Which noisy breathing signals upper-airway obstruction and demands urgency?	Stridor, a loud upper-airway obstruction sound.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0009-en	Which findings in a breathless patient require immediate support rather than a completed examination?	Inability to speak, exhaustion, reduced consciousness, paradoxical movement, poor air entry, cyanosis, hypotension, or worsening gas values.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0010-en	Clubbing occurs with which conditions, and in which two common airway diseases is it not expected?	Lung cancer, bronchiectasis, fibrosis, abscess, cyanotic heart disease and gastrointestinal disorders, but not uncomplicated asthma or chronic obstructive disease.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0011-en	Marked tracheal deviation can reflect which processes?	Volume loss, a mass, a large effusion, or tension pneumothorax.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
