#separator:Tab
#html:false
#tags column:5
IMF-011-01-0001-en	Which cells produce erythropoietin, and what stimulus drives its production?	Renal interstitial cells produce it, mainly when oxygen delivery to the tissues is inadequate.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0002-en	What does an appropriately corrected rise in reticulocytes suggest, and what does an inadequate response suggest?	A raised response suggests marrow compensation after blood loss or haemolysis; an inadequate response suggests impaired production.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0003-en	Why can a reticulocyte count taken soon after acute blood loss mislead?	The marrow response is not immediate, so sampling time must be considered before concluding that production is impaired.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0004-en	Where are senescent or damaged red cells removed, and what becomes of iron, globin, and haem?	Mainly in splenic and hepatic macrophages: iron is recycled, globin is reused as amino acids, and haem is converted to bilirubin.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0005-en	Which red-cell measurement helps separate thalassaemia from iron deficiency when both give marked microcytosis?	The red-cell count: thalassaemia reduces globin-chain production and can give marked microcytosis with a relatively preserved red-cell count.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0006-en	Why does a normal ferritin fail to exclude iron deficiency?	Ferritin reflects iron stores but also rises with inflammation, so transferrin saturation, inflammatory markers, and clinical context are needed.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0007-en	Why must suspected vitamin B twelve deficiency not be treated with folate alone?	Vitamin B twelve deficiency can cause neurological injury, which folate alone does not prevent.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0008-en	By which two actions does inflammation-driven hepcidin reduce the iron available for erythropoiesis?	It reduces intestinal iron absorption and traps iron within storage cells.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0009-en	Give the two mechanisms by which kidney disease produces anaemia.	It reduces erythropoietin production and shortens red-cell survival.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0010-en	What does hepcidin do to ferroportin, and in which cells does that matter?	It binds ferroportin and promotes its removal from the cell surface, reducing iron export from intestinal cells and from recycling macrophages.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0011-en	Why can a low circulating iron alone not show whether true deficiency or inflammatory restriction is operating?	The measurement describes only the circulating compartment, whereas haemoglobin production also depends on storage, release, transport, uptake, and the marrow's ability to use delivered iron.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0012-en	Distinguish intrinsic from extrinsic causes of haemolysis, with examples of each.	Intrinsic causes are membrane, enzyme, or haemoglobin disorders of the red cell; extrinsic causes include antibodies, mechanical destruction, infection, toxins, burns, and hypersplenism.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0013-en	Which laboratory findings support a diagnosis of haemolysis?	Increased unconjugated bilirubin and lactate dehydrogenase, reduced haptoglobin, and reticulocytosis.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0014-en	Trace the formation of the primary platelet plug after vascular injury.	Von Willebrand factor links platelets to exposed collagen through platelet glycoprotein receptors, activated platelets expose glycoprotein two b three a, and fibrinogen bridges those receptors between platelets.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0015-en	In which situations is platelet function impaired although the platelet count is adequate?	Antiplatelet drugs, uraemia, inherited receptor defects, cardiopulmonary bypass, and systemic illness.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0016-en	How does the bleeding pattern of a primary haemostatic disorder differ from that of a coagulation-factor disorder?	Primary haemostatic disorders often give petechiae, mucosal bleeding, immediate procedural bleeding, and heavy menstruation; factor disorders more often give deep tissue, joint, or delayed bleeding.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0017-en	List the actions of thrombin once it has been generated at a site of injury.	It converts fibrinogen to fibrin, activates platelets and cofactors, and amplifies its own generation on phospholipid surfaces.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0018-en	Which natural anticoagulant systems restrain coagulation?	Antithrombin, protein C with protein S, tissue-factor pathway inhibitor, and intact endothelium.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0019-en	What does the prothrombin time assess and monitor, and what does the activated partial thromboplastin time assess and monitor?	The prothrombin time with the international normalised ratio assesses selected extrinsic and common pathway factors and monitors vitamin K antagonists; the activated partial thromboplastin time assesses selected intrinsic and common factors and monitors some unfractionated heparin use.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0020-en	State two reasoning errors commonly made about coagulation screening tests.	Assuming that normal screening tests exclude every bleeding disorder, and assuming that a prolonged test predicts clinical bleeding.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0021-en	How is D-dimer generated, and in which patients is it most useful?	Tissue plasminogen activator converts plasminogen to plasmin, which degrades fibrin into D-dimer fragments; it is most useful to exclude venous thromboembolism in appropriately selected low- or intermediate-risk patients.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0022-en	How do arterial and venous thrombi differ in composition, and what does that imply for treatment?	Arterial thrombi form at high flow, often on disrupted plaque, and are platelet-rich; venous thrombi are promoted by stasis and contain abundant fibrin and red cells, which guides the relative roles of antiplatelet and anticoagulant treatment.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0023-en	What processes define disseminated intravascular coagulation?	Systemic coagulation activation with microvascular fibrin, consumption of platelets and factors, secondary fibrinolysis, organ injury, and bleeding.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
IMF-011-01-0024-en	What are the immediate steps when an acute transfusion reaction is suspected?	Stop the transfusion, maintain access with appropriate fluid, assess the patient, check identity, notify the blood service, and investigate according to protocol.	Integrated Medical Foundations; chapter 11, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 6e14b661008510629411a36a0355cd939c4b2bb7abfaee9b2ee97557a77b7bd6; editorial review pending	imf lang::en chapter::011 module::011-01 review::pending
