id,citation,url,access,design,exposure,comparator,endpoint,finding,limits
1,Dechent P et al. (1999). Increase of total creatine in human brain after oral supplementation of creatine-monohydrate. Am J Physiol 277:R698-704.,https://pubmed.ncbi.nlm.nih.gov/10484486/,A,Human MRS before-after; n=6,"20 g/day, 4 weeks",Baseline,Brain total creatine,Mean increase 8.7%; P<0.001,"Small, no cognitive efficacy test"
2,Klivenyi P et al. (2004). Neuroprotective mechanisms of creatine occur in the absence of mitochondrial creatine kinase. Neurobiol Dis 15:610-617.,https://pubmed.ncbi.nlm.nih.gov/15056469/,A,Mouse knockout and neurotoxin experiments,Creatine; dose not extracted,Genotype and treatment controls,MPTP injury and energy metabolites,Protection persisted without UbMi-CK,Animal model; does not establish human disease prevention
3,"Brose A, Parise G, Tarnopolsky MA. (2003). Creatine supplementation enhances isometric strength and body composition improvements following strength exercise training in older adults. J Gerontol A 58:B11-19.",https://pubmed.ncbi.nlm.nih.gov/12560406/,A,"Randomized trial; n=28, age >65","5 g/day with resistance exercise, 14 weeks",Placebo plus exercise,Strength and body composition,Additional benefit in selected measures,Small; no survival endpoint; effect uncertainty not extracted
4,Bender A et al. (2008; online 2007). Creatine improves health and survival of mice. Neurobiol Aging 29:1404-1411.,https://pubmed.ncbi.nlm.nih.gov/17416441/,A,Aging experiment; 162 C57Bl/6J mice,Oral creatine; full regimen not verified,Control-fed mice,Healthy lifespan; brain and behavioral measures,Median healthy lifespan 9% higher,Not human lifespan; endpoint details require full paper; no CI extracted
5,Ostojic SM. (2025). Dietary creatine intake and all-cause mortality among U.S. adults: a linked mortality analysis from the NHANES study. Appl Physiol Nutr Metab. DOI: 10.1139/apnm-2025-0001.,https://doi.org/10.1139/apnm-2025-0001,A,Observational; n=4041; 858 deaths,Single 24-hour dietary recall,At least 1 versus less than 1 g/day,All-cause mortality,HR 0.85 (95% CI 0.72-1.00); weakened with demographic/lifestyle adjustment,Confounding; dietary not supplement exposure; author reported creatine industry/patent interests
6,Matthews RT et al. (1999). Creatine and cyclocreatine attenuate MPTP neurotoxicity. Exp Neurol. PMID: 10222117.,https://pubmed.ncbi.nlm.nih.gov/10222117/,A,Mouse neurotoxin experiment,Creatine or cyclocreatine,MPTP controls,Dopamine depletion,Experimental neuroprotection,Animal toxin injury is not idiopathic human neurodegeneration; dose/n not extracted
7,Gordji-Nejad A et al. (2024). Single dose creatine improves cognitive performance and induces changes in cerebral high energy phosphates during sleep deprivation. Sci Rep 14:4937.,https://www.nature.com/articles/s41598-024-54249-9,F,Randomized crossover; n=15,Single 0.35 g/kg; 21 hours sleep deprivation,Placebo,Cognitive tasks and MRS metabolites,Selected performance and metabolic changes,Small acute study; multiple endpoints; no disease or survival outcome
8,Gordji-Nejad A et al. (2026). Single-Dose Creatine Reduces Sleep Deprivation-Induced Deterioration in Cognitive Performance. Nutrients 18:1192. DOI: 10.3390/nu18081192.,https://juser.fz-juelich.de/record/1055998/files/nutrients-18-01192-v2.pdf?version=1,F,Double-blind randomized crossover; n=29,Single 0.2 g/kg; sleep deprivation,Placebo,Cognitive performance,Modest attenuation; multiple individual comparisons not robust to correction,Young adults; no MRS; same research group; cross-study dose comparisons noncausal
9,Sandkuhler JF et al. (2023). The effects of creatine supplementation on cognitive performance - a randomised controlled study. BMC Med 21:440.,https://doi.org/10.1186/s12916-023-03146-5,F,Preregistered double-blind randomized crossover; n=123,5 g/day; 6 weeks per condition,Placebo,Backward digit span; Raven matrices,BDS P=0.064; RAPM P=0.327; Bayesian evidence allowed small benefit,Small effects uncertain; no separate washout; mixed online/in-person testing
10,EFSA NDA Panel (2024). Creatine and improvement in cognitive function: evaluation of a health claim. EFSA Journal 22:e9100.,https://doi.org/10.2903/j.efsa.2024.9100,R,Original regulatory assessment,Submitted creatine cognition evidence,Claim-specific evaluation,Cause-and-effect health claim,Claim not substantiated; correlated-test pooling criticized,Evidence cutoff predates newer trials; not a direct efficacy experiment
11,"Lyoo IK et al. (2012). A randomized, double-blind placebo-controlled trial of oral creatine monohydrate augmentation for enhanced response to a selective serotonin reuptake inhibitor in women with major depressive disorder. Am J Psychiatry 169:937-945.",https://pubmed.ncbi.nlm.nih.gov/22864465/,A,RCT; n=52 women,5 g/day plus escitalopram; 8 weeks,Placebo plus escitalopram,Depressive symptoms,Improved treatment response,"Small, female-only, adjunctive; no long-term relapse endpoint"
12,(2025; online 2024). Efficacy and safety profile of oral creatine monohydrate in add-on to cognitive-behavioural therapy in depression. Eur Neuropsychopharmacol 90:28-35. PMID: 39488067.,https://pubmed.ncbi.nlm.nih.gov/39488067/,A,Double-blind randomized exploratory trial; n=100,Creatine plus CBT; 8 weeks; dose not verified from accessed abstract,Placebo plus CBT,PHQ-9,Mean difference -5.12 points; CI not extracted,Feasibility/exploratory; no monotherapy inference
13,"Smith AN et al. (2025). Creatine monohydrate pilot in Alzheimer's: feasibility, brain creatine, and cognition. Alzheimers Dement (N Y) 11:e70101.",https://pmc.ncbi.nlm.nih.gov/articles/PMC12089086/,F,Single-arm pilot; n=20,20 g/day for 8 weeks,Baseline only,Brain tCr; cognitive tests; feasibility,Brain tCr +11%; selected Toolbox gains; MMSE P=0.33,No placebo; practice and multiplicity; no progression endpoint
14,Lawler JM et al. (2002). Direct antioxidant properties of creatine. Biochem Biophys Res Commun 290:47-52.,https://pubmed.ncbi.nlm.nih.gov/11779131/,A,In-vitro biochemical assays,Creatine; assay concentrations not extracted,Assay controls,Reactive-species removal,Selective scavenging; no significant H2O2 or lipid-peroxidation reduction,Not human CNS clinical evidence
15,"Peters BA et al. (2015). Low-dose creatine supplementation lowers plasma guanidinoacetate, but not plasma homocysteine, in a double-blind, randomized, placebo-controlled trial. J Nutr 145:2245-2252.",https://pubmed.ncbi.nlm.nih.gov/26311810/,A,Randomized 4-arm analysis; n=458 analyzed,"3 g/day, with/without folic acid; 12 weeks",Placebo and folic-acid arms,Guanidinoacetate and homocysteine,Guanidinoacetate lower; no homocysteine reduction from creatine alone,Specific Bangladeshi population; no epigenetic or survival endpoint
16,"Gualano B et al. (2011). Creatine in type 2 diabetes: a randomized, double-blind, placebo-controlled trial. Med Sci Sports Exerc 43:770-778.",https://pubmed.ncbi.nlm.nih.gov/20881878/,A,RCT; n=25 analyzed,5 g/day plus exercise; 12 weeks,Placebo plus exercise,HbA1c; GLUT4 translocation,HbA1c difference -1.1 percentage points (95% CI -1.9 to -0.4),Small; diabetes-specific; no clinical event outcome
17,Writing Group for the NINDS NET-PD Investigators (2015). Effect of creatine monohydrate on clinical progression in patients with Parkinson disease: a randomized clinical trial. JAMA. PMID: 25668262.,https://pubmed.ncbi.nlm.nih.gov/25668262/,A,Multicenter double-blind RCT; n=1741,10 g/day; long-term LS-1,Placebo,Clinical progression,Stopped for futility; no clinical benefit,Early treated Parkinson disease; not primary prevention; no effect estimate reproduced
