#separator:Tab
#html:false
#tags column:5
IMF-091-02-0001-ja	RNAポリメラーゼ2のカルボキシ末端ドメインのリン酸化は何をもたらすか。	配置されたポリメラーゼの伸長への移行を促し、RNA処理因子を動員する。	Integrated Medical Foundations; chapter 91, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: effa619d946b4c7b3403f2a8aaad2901a73c0e6d1710b20e4b0950f0edec9a56; editorial review pending	imf lang::ja chapter::091 module::091-02 review::pending
IMF-091-02-0002-ja	非コード変異が蛋白配列を変えずに疾患を起こし得るのはなぜか。	エンハンサーは転写因子結合、クロマチンループ、共活性化因子を介し遠距離からプロモーターを調節し、組織や発生段階ごとに別の調節要素が使われるため、変異が発現量、時期、細胞局在を変え得るからである。	Integrated Medical Foundations; chapter 91, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: effa619d946b4c7b3403f2a8aaad2901a73c0e6d1710b20e4b0950f0edec9a56; editorial review pending	imf lang::ja chapter::091 module::091-02 review::pending
IMF-091-02-0003-ja	RNAポリメラーゼのプロモーター近傍での一時停止にはどのような意義があるか。	発生遺伝子やストレス遺伝子を迅速に放出可能な状態に保つことである。	Integrated Medical Foundations; chapter 91, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: effa619d946b4c7b3403f2a8aaad2901a73c0e6d1710b20e4b0950f0edec9a56; editorial review pending	imf lang::ja chapter::091 module::091-02 review::pending
IMF-091-02-0004-ja	7メチルグアノシンキャップが早期に付加されることはメッセンジャーRNAにとってなぜ重要か。	キャップはRNAを保護し、処理・輸送因子を集め、後に翻訳開始を支え、キャップ結合複合体が正しいポリメラーゼ2転写産物と損傷RNAの識別に寄与するからである。	Integrated Medical Foundations; chapter 91, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: effa619d946b4c7b3403f2a8aaad2901a73c0e6d1710b20e4b0950f0edec9a56; editorial review pending	imf lang::ja chapter::091 module::091-02 review::pending
IMF-091-02-0005-ja	スプライシングの結合化学はATPを直接使わない。それはなぜか。また、エネルギーはどこで必要か。	二回のエステル交換反応で投げ縄状イントロンを作りエクソンを連結するからであり、エネルギーは複合体の組立てと再構成に要する。	Integrated Medical Foundations; chapter 91, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: effa619d946b4c7b3403f2a8aaad2901a73c0e6d1710b20e4b0950f0edec9a56; editorial review pending	imf lang::ja chapter::091 module::091-02 review::pending
IMF-091-02-0006-ja	同義置換や深いイントロン変異が病原性となり得るのはなぜか。また、その証明が難しいのはなぜか。	エンハンサーを壊し、潜在部位を作り、偽エクソンを導入し得るからである。実証には関連組織のRNA解析が必要だが、アクセスしやすい血液では対象転写産物が少ないか発現しないことがある。	Integrated Medical Foundations; chapter 91, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: effa619d946b4c7b3403f2a8aaad2901a73c0e6d1710b20e4b0950f0edec9a56; editorial review pending	imf lang::ja chapter::091 module::091-02 review::pending
IMF-091-02-0007-ja	選択的ポリアデニル化は遺伝子の産物をどのように変えるか。	3プライム非翻訳領域またはコード領域を変えることで、マイクロRNA標的、局在、蛋白産物を変化させる。	Integrated Medical Foundations; chapter 91, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: effa619d946b4c7b3403f2a8aaad2901a73c0e6d1710b20e4b0950f0edec9a56; editorial review pending	imf lang::ja chapter::091 module::091-02 review::pending
IMF-091-02-0008-ja	メッセンジャーRNAの安定性調節が免疫応答の中核となるのはなぜか。	AUリッチ配列と結合蛋白が炎症・増殖転写産物を調節し、安定性の変化は新規転写より速く蛋白産生を変えるからである。	Integrated Medical Foundations; chapter 91, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: effa619d946b4c7b3403f2a8aaad2901a73c0e6d1710b20e4b0950f0edec9a56; editorial review pending	imf lang::ja chapter::091 module::091-02 review::pending
IMF-091-02-0009-ja	ナンセンス変異依存分解は、早期終止コドンが単純な機能喪失を起こすか優性阻害効果を起こすかをどのように左右するか。	多くの早期終止転写産物が分解されるため、変異は異常蛋白ではなくRNA消失を起こす。分解を逃れると優性阻害性または毒性短縮蛋白を生じ得る。	Integrated Medical Foundations; chapter 91, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: effa619d946b4c7b3403f2a8aaad2901a73c0e6d1710b20e4b0950f0edec9a56; editorial review pending	imf lang::ja chapter::091 module::091-02 review::pending
IMF-091-02-0010-ja	ノンストップ分解、ノーゴー分解、リボソーム関連品質管理の欠陥で、神経細胞が特に傷害されるのはなぜか。	これらはRNA監視と蛋白恒常性を連結しており、長寿命の神経細胞は正確な局所翻訳と廃棄に依存するからである。	Integrated Medical Foundations; chapter 91, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: effa619d946b4c7b3403f2a8aaad2901a73c0e6d1710b20e4b0950f0edec9a56; editorial review pending	imf lang::ja chapter::091 module::091-02 review::pending
IMF-091-02-0011-ja	アデノシンからイノシンへの編集は転写産物の意味をどう変えるか。また、変異とどう異なるか。	ADARが作るイノシンはグアノシンとして読まれ、コード、スプライシング、RNA構造、自然免疫認識を変える。変化はゲノムではなくRNAにあり、組織特異的になり得る。	Integrated Medical Foundations; chapter 91, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: effa619d946b4c7b3403f2a8aaad2901a73c0e6d1710b20e4b0950f0edec9a56; editorial review pending	imf lang::ja chapter::091 module::091-02 review::pending
